rank_page,word,count_sum,rank_page_count,article_count,current_page_count,first_appear
1,維持消化道機能,8,1,1,1,1
1,維生素,4,3,3,1,1
1,編碼,10,1,1,1,1
1,編號,5,3,3,1,1
1,繁體,4,2,2,1,1
1,纖維,4,3,3,1,1
1,羊奶,5,1,1,1,1
1,義美生醫,4,1,1,1,1
1,老師,4,1,1,1,1
1,耐酸,4,3,3,1,1
1,耐酸耐鹼,6,1,1,1,1
1,胃部,5,1,1,1,1
1,胃酸,13,7,9,2,1
1,脹氣,4,1,1,1,1
1,腸內細菌,5,1,1,1,1
1,腸胃,18,3,5,3,1
1,腸胃益生菌推薦,5,1,1,1,1
1,腸胃道,5,2,2,1,1
1,腸道,72,9,35,5,1
1,腸道保健,6,1,1,1,1
1,腸道益生菌,6,1,1,1,1
1,腹瀉,17,3,4,1,1
1,膠原蛋白,5,2,2,1,1
1,膳食纖維,14,4,5,1,1
1,膽鹽,9,2,2,1,1
1,自行,4,1,1,1,1
1,菌叢,4,3,3,1,1
1,菌數,35,5,8,2,1
1,菌株,90,8,18,5,1
1,菌種,108,9,24,6,1
1,萃取,5,2,2,1,1
1,蔓越,5,1,1,1,1
1,藥品,8,2,2,1,1
1,藥師,4,2,2,1,1
1,藥物,4,1,1,1,1
1,補充,17,8,11,2,1
1,複合菌,4,1,1,1,1
1,角色,5,1,1,1,1
1,評價,6,1,1,1,1
1,認證,6,2,2,1,1
1,調整,40,5,9,4,1
1,調節,6,5,5,1,1
1,調節生理機能,4,1,1,1,1
1,證實,4,4,4,1,1
1,購買,11,1,2,2,1
1,身心,9,1,1,1,1
1,輔料,9,1,1,1,1
1,輔菌,7,1,1,1,1
1,過敏,9,4,7,1,1
1,過敏性鼻炎,8,2,2,1,1
1,過敏益生菌,4,1,1,1,1
1,適合,23,3,8,4,1
1,選擇,38,5,8,3,1
1,配方,8,3,3,1,1
1,配方時代,6,1,1,1,1
1,酵素,24,4,8,4,1
1,酸奶,11,1,1,1,1
1,醫學,5,2,3,1,1
1,醫師,12,3,5,3,1
1,醫療,4,2,2,1,1
1,重要,8,3,5,2,1
1,針對,14,2,4,3,1
1,開發,4,2,2,1,1
1,關心,4,1,1,1,1
1,關鍵,4,1,1,1,1
1,防護力,8,2,2,1,1
1,降低,9,3,5,2,1
1,雷特氏B菌,10,1,1,1,1
1,需求,8,2,2,1,1
1,需要,5,6,11,1,1
1,順暢,13,2,2,1,1
1,類型,7,1,1,1,1
1,顯示,5,3,3,1,1
1,食品,7,7,8,1,1
1,食物,25,9,18,4,1
1,食用,32,10,15,5,1
1,飲食,4,7,8,1,1
1,體內,5,4,4,1,1
1,體質,52,6,11,6,1
1,高劑量,4,1,1,1,1
1,魚油,8,1,1,1,1
1,鳳梨,4,2,2,1,1
1,鼠李糖乳桿菌,7,4,4,1,1
1,龍根菌,15,2,2,1,1
2,Lactobacillus,4,9,13,1,1
2,pH,5,3,3,1,2
2,product,7,3,3,1,1
2,products,4,2,2,1,1
2,中文,4,2,2,1,1
2,乳酸菌,7,10,24,1,1
2,亞硝胺,4,1,1,1,2
2,人體,4,8,16,1,1
2,使用,5,8,17,1,1
2,依賴,5,2,2,1,2
2,保存,4,4,5,1,2
2,健康,14,9,33,3,1
2,優格,7,3,4,1,2
2,優酪乳,7,4,5,1,1
2,台中,5,1,1,1,2
2,吃益生菌,9,4,11,2,1
2,問題,5,4,6,1,1
2,外科主任,4,1,1,1,2
2,大腸,4,1,1,1,2
2,好菌,12,7,12,1,1
2,孕期,9,1,1,1,2
2,寶寶,5,2,3,1,2
2,建議,6,7,13,1,1
2,抗生素,5,4,5,1,1
2,效果,7,7,10,1,1
2,敖立燕,4,1,1,1,2
2,更多,13,2,2,1,2
2,母乳,5,2,2,1,2
2,活性,6,3,3,1,2
2,環境,4,8,13,1,1
2,產品,17,10,24,1,1
2,益生菌,93,10,48,4,1
2,直腸,4,1,1,1,2
2,稱為,4,1,1,1,2
2,繁殖,4,2,2,1,2
2,繁體,4,2,2,1,1
2,耐酸,4,3,3,1,1
2,胃藥,5,1,1,1,2
2,胃酸,5,7,9,1,1
2,腸道,20,9,35,4,1
2,菌種,5,9,24,1,1
2,蔣鋒帆,9,1,1,1,2
2,補充,4,8,11,1,1
2,迷思,5,2,2,1,2
2,達到,4,2,2,1,2
2,重要性,5,1,1,1,2
2,長期,4,1,1,1,2
2,防護力,5,2,2,1,1
2,食物,14,9,18,2,1
2,食用,7,10,15,1,1
2,飲食,7,7,8,1,1
2,體溫,7,1,1,1,2
3,Lactobacillus,5,9,13,1,1
3,主要,8,3,3,1,1
3,乳酸菌,11,10,24,1,1
3,乾酪乳桿菌,5,1,1,1,3
3,人體,5,8,16,1,1
3,代謝,4,2,2,1,1
3,使用,5,8,17,1,1
3,保養,4,2,3,1,1
3,健康,19,9,33,3,1
3,內容,6,2,2,1,1
3,全部,5,1,1,1,3
3,具有,5,6,7,1,1
3,功效,6,7,13,1,1
3,功能,4,6,8,1,1
3,哈啾,4,1,1,1,3
3,啤酒酵母,4,1,1,1,3
3,嗜酸乳桿菌,7,3,3,1,1
3,困擾,5,1,1,1,3
3,增加,4,4,7,1,1
3,女性,4,3,3,1,1
3,專利,8,6,8,1,1
3,專屬,4,1,1,1,3
3,市面上,4,4,4,1,1
3,幫助,8,6,13,1,1
3,康健,5,1,1,1,3
3,康普茶,6,1,1,1,3
3,想要,4,1,1,1,3
3,成分,4,5,5,1,1
3,指出,4,3,3,1,3
3,排便,12,3,3,1,1
3,排序,5,1,1,1,3
3,擁有,5,2,2,1,1
3,改善,6,6,12,1,1
3,數量,6,4,6,1,1
3,日本,6,4,4,1,1
3,時間,5,4,6,1,1
3,暢活,4,1,1,1,3
3,更多,4,2,2,1,2
3,植物乳桿菌,8,3,3,1,1
3,比菲德氏菌,7,4,4,1,1
3,營養,4,5,7,1,1
3,環境,12,8,13,1,1
3,生長,4,5,6,1,3
3,產品,13,10,24,2,1
3,發現,7,5,5,1,1
3,益生菌,94,10,48,3,1
3,益生菌種類,5,2,2,1,3
3,益菌,9,5,8,1,1
3,研究,13,6,17,2,1
3,私密,4,3,4,1,1
3,編號,4,3,3,1,1
3,腸道,40,9,35,3,1
3,菌叢,6,3,3,1,1
3,菌株,15,8,18,2,1
3,菌種,16,9,24,1,1
3,菌粉,5,2,2,1,3
3,補充,4,8,11,1,1
3,解秘,8,1,1,1,3
3,調查,7,1,1,1,3
3,調節,4,5,5,1,1
3,過敏,4,4,7,1,1
3,選擇,5,5,8,1,1
3,順暢,4,2,2,1,1
3,食品,4,7,8,1,1
3,食物,9,9,18,1,1
3,食用,4,10,15,1,1
3,飲食,6,7,8,1,1
3,體內,7,4,4,1,1
3,鼠李糖乳桿菌,4,4,4,1,1
4,20,7,1,1,1,4
4,2015,6,1,1,1,4
4,3,5,1,1,1,4
4,BB,9,1,1,1,4
4,Bifidobacterium,5,3,4,1,1
4,Cell,4,1,1,1,4
4,DL,6,1,1,1,4
4,EPS,5,1,1,1,4
4,Gut,4,1,1,1,4
4,LGG,22,3,6,3,1
4,LP,28,2,3,1,1
4,LP33,5,2,2,1,1
4,Lactobacillus,5,9,13,1,1
4,Nutr,7,1,1,1,4
4,Saccharomyces,6,1,1,1,4
4,TKLAB,4,1,1,1,4
4,TMA,5,1,1,1,4
4,Th2,4,1,1,1,4
4,USANA,41,1,1,1,4
4,boulardii,7,1,1,1,4
4,disease,4,1,1,1,4
4,ethylphenylsulfate,5,1,1,1,4
4,fragilis,6,1,1,1,4
4,gut,13,1,2,2,4
4,microbiome,4,1,1,1,4
4,microbiota,4,1,1,1,4
4,prebiotics,7,1,1,1,4
4,probiotics,9,1,1,1,4
4,不宜,5,1,1,1,4
4,乳桿菌,10,2,2,1,4
4,乳糖,8,1,1,1,4
4,乳糖不耐,5,1,1,1,4
4,乳酸,5,2,2,1,4
4,乳酸桿菌,7,1,1,1,4
4,乳酸菌,44,10,24,4,1
4,乳鐵蛋白,6,1,1,1,4
4,了解,7,2,3,1,1
4,二氧化矽,15,1,1,1,4
4,二氧化鈦,8,1,1,1,4
4,人類,11,3,3,1,4
4,人體,11,8,16,2,1
4,代謝物,6,1,1,1,4
4,低溫,4,1,1,1,4
4,作用,13,4,6,1,4
4,使用,91,8,17,3,1
4,來源,5,5,5,1,1
4,便秘,4,2,2,1,1
4,促進,13,3,3,1,1
4,保健食品,4,1,1,1,4
4,保存,10,4,5,2,2
4,保持,10,1,1,1,4
4,健康,72,9,33,5,1
4,偽膜性大腸炎,4,1,1,1,4
4,傷害,6,1,1,1,4
4,價格,4,2,2,1,1
4,優格,36,3,4,2,2
4,優良,4,1,1,1,4
4,充品,4,1,1,1,4
4,免疫,24,3,6,2,4
4,免疫系統,4,3,3,1,4
4,兒童,7,2,2,1,4
4,共伴,4,1,1,1,4
4,共生,6,1,1,1,4
4,具有,5,6,7,1,1
4,出生,11,1,1,1,4
4,分子,5,2,2,1,4
4,利用,5,3,3,1,4
4,副乾酪乳桿菌,4,3,4,1,1
4,功效,5,7,13,1,1
4,功能,5,6,8,1,1
4,加入,5,1,1,1,4
4,動物,5,3,3,1,4
4,動物實驗,7,1,1,1,4
4,包括,17,3,5,3,1
4,包裝,4,2,2,1,4
4,可溶性,5,3,3,1,1
4,吃益生菌,14,4,11,2,1
4,含有,8,2,3,2,4
4,品牌,6,4,5,1,1
4,問題,11,4,6,2,1
4,嗜熱鏈球菌,4,1,1,1,4
4,國際,5,3,3,1,4
4,均衡,5,1,1,1,4
4,基因,8,1,2,2,4
4,塑造,4,1,1,1,4
4,增加,5,4,7,1,1
4,壓力,5,1,1,1,4
4,壞死性腸炎,6,1,1,1,4
4,壞菌,4,3,3,1,1
4,多半,4,1,1,1,4
4,多重,8,1,1,1,4
4,大廠,4,2,2,1,4
4,好久,4,1,1,1,4
4,好菌,12,7,12,2,1
4,嬰兒,17,2,3,2,1
4,孕婦,4,2,2,1,4
4,存在,4,2,2,1,4
4,孢子,4,1,1,1,4
4,安全,5,4,4,1,1
4,定性,4,1,1,1,4
4,容易,22,5,7,3,1
4,寡糖,26,3,6,2,1
4,專利,10,6,8,1,1
4,小朋友,4,2,2,1,1
4,屏障,5,1,1,1,4
4,工廠,43,1,1,1,4
4,差異,4,2,2,1,1
4,市面上,4,4,4,1,1
4,帶來,4,1,1,1,4
4,幫助,16,6,13,2,1
4,幫手,4,1,1,1,4
4,年齡,4,1,1,1,4
4,建議,19,7,13,3,1
4,影響,18,2,3,2,4
4,微生物,79,4,10,4,1
4,心血管,4,1,1,1,4
4,感染,5,2,2,1,4
4,憂鬱,6,1,1,1,4
4,成人,12,1,2,2,4
4,成分,4,5,5,1,1
4,成熟,5,1,1,1,4
4,抑制,5,2,2,1,4
4,抗生素,7,4,5,1,1
4,抗過敏,15,1,1,1,4
4,抗體,6,1,1,1,4
4,挑選,5,6,10,1,1
4,排便,4,3,3,1,1
4,推薦,10,3,7,2,1
4,提供,8,3,4,1,1
4,攝取,4,3,3,1,4
4,支持,7,2,2,1,1
4,改善,10,6,12,1,1
4,改變,6,1,1,1,4
4,效果,22,7,10,2,1
4,敏感,5,1,1,1,4
4,數量,12,4,6,2,1
4,文章,5,3,4,1,1
4,方式,10,2,3,2,4
4,旅行,4,1,1,1,4
4,旅遊,4,1,1,1,4
4,日本,9,4,4,1,1
4,早期,6,1,1,1,4
4,早產兒,11,1,1,1,4
4,時間,7,4,6,1,1
4,景岳生技,10,1,1,1,4
4,有助,5,2,3,1,1
4,有效,20,3,8,4,1
4,有益,6,5,6,1,1
4,服用,16,5,8,1,1
4,木寡糖,9,1,1,1,4
4,果汁,16,1,1,1,4
4,果酸,16,1,1,1,4
4,查核點,4,1,1,1,4
4,植物,6,2,2,1,4
4,植物乳桿菌,10,3,3,1,1
4,檸檬酸,26,1,1,1,4
4,歐洲,4,1,1,1,4
4,正常,12,2,3,2,1
4,死菌,4,1,1,1,4
4,母奶,23,1,1,1,4
4,每日,102,3,3,1,4
4,毒素,5,1,1,1,4
4,比較,13,5,8,2,1
4,氧化,4,1,1,1,4
4,水果,4,1,1,1,4
4,水蜜桃,4,1,1,1,4
4,治療,10,2,2,1,4
4,活菌,18,2,5,3,4
4,消化,20,3,5,2,1
4,消化系,10,1,1,1,4
4,消化道,6,4,4,1,1
4,消費者,13,2,3,2,4
4,添加,12,5,10,2,1
4,添加物,17,3,4,1,1
4,減少,8,3,4,1,1
4,滋養,10,1,1,1,4
4,營養,4,5,7,1,1
4,營養素,9,1,1,1,4
4,牛奶,4,2,2,1,1
4,物質,4,3,3,1,4
4,特定,5,1,1,1,4
4,獲得,4,1,1,1,4
4,玉米,4,3,3,1,1
4,球菌,22,3,4,1,1
4,環境,18,8,13,3,1
4,甜味,10,2,2,1,1
4,生態,4,1,1,1,4
4,生技,16,1,1,1,4
4,生病,5,1,1,1,4
4,生長,4,5,6,1,3
4,生長素,4,1,1,1,4
4,產前,7,1,1,1,4
4,產品,33,10,24,3,1
4,產生,6,3,6,1,4
4,產道,6,1,1,1,4
4,男女,4,1,1,1,4
4,異位性皮膚炎,4,3,3,1,1
4,異常,15,1,1,1,4
4,異麥芽寡糖,9,1,1,1,4
4,疑慮,5,1,1,1,4
4,疾病,17,2,3,1,4
4,症狀,5,2,2,1,1
4,癌症,9,1,1,1,4
4,發展,8,1,1,1,4
4,發炎,12,2,2,1,4
4,發炎性腸疾病,6,1,1,1,4
4,發現,13,5,5,1,1
4,發育,21,1,1,1,4
4,發酵,4,5,5,1,1
4,益生,6,4,7,1,4
4,益生菌,335,10,48,6,1
4,益生質,7,4,7,1,1
4,益菌,29,5,8,3,1
4,直銷,6,1,1,1,4
4,相關,8,5,6,1,1
4,真正,4,2,2,1,1
4,研究,22,6,17,2,1
4,硬脂酸鎂,16,1,1,1,4
4,神經,9,1,1,1,4
4,禁止,5,1,1,1,4
4,移植,8,1,1,1,4
4,穩定,4,1,1,1,4
4,簡單,4,1,1,1,4
4,粉末,5,2,2,1,4
4,粉狀,4,1,1,1,4
4,粒膠,5,1,1,1,4
4,精準,10,1,1,1,4
4,糖尿病,7,1,1,1,4
4,糞腸球菌,4,2,2,1,4
4,細胞,21,3,5,2,4
4,細菌,40,4,6,3,1
4,給予,5,1,1,1,4
4,統一,5,1,1,1,4
4,綜合,38,1,1,1,4
4,維持,9,3,4,2,1
4,維生素,13,3,3,1,1
4,網址,5,1,1,1,4
4,纖維,7,3,3,1,1
4,耐酸,4,3,3,1,1
4,肉食,4,1,1,1,4
4,肝臟,4,1,1,1,4
4,肥胖,17,1,1,1,4
4,胃酸,7,7,9,1,1
4,胡蘿蔔,7,1,1,1,4
4,胰島素,5,1,1,1,4
4,脂肪,4,1,1,1,4
4,腫瘤,4,1,1,1,4
4,腸炎,4,1,1,1,4
4,腸胃,5,3,5,1,1
4,腸道,117,9,35,5,1
4,腹瀉,17,3,4,1,1
4,膠原蛋白,4,2,2,1,1
4,膠囊,14,2,3,2,4
4,自閉症,7,1,1,1,4
4,自體,7,1,1,1,4
4,至少,4,1,1,1,4
4,舒敏,4,1,1,1,4
4,色素,7,1,1,1,4
4,芽孢,6,1,1,1,4
4,芽孢乳酸菌,7,1,1,1,4
4,草莓,7,1,1,1,4
4,菊糖,4,2,2,1,4
4,菊苣纖維,9,2,2,1,4
4,菌叢,14,3,3,1,1
4,菌數,21,5,8,2,1
4,菌株,29,8,18,3,1
4,菌種,29,9,24,3,1
4,菌粉,25,2,2,1,3
4,萃取,22,2,2,1,1
4,葡萄,4,1,1,1,4
4,葡萄王,4,1,1,1,4
4,葡萄糖,8,1,1,1,4
4,蔗糖,11,1,1,1,4
4,蔬果,4,1,1,1,4
4,藥品,5,2,2,1,1
4,血管,4,1,1,1,4
4,補充,14,8,11,2,1
4,試驗,4,3,3,1,4
4,認證,4,2,2,1,1
4,說明,9,1,1,1,4
4,調整,8,5,9,2,1
4,調節,10,5,5,1,1
4,證實,4,4,4,1,1
4,證據,12,1,1,1,4
4,購物,8,1,1,1,4
4,身體,20,3,7,3,4
4,透過,7,1,1,1,4
4,造成,7,2,2,1,4
4,造粒,5,1,1,1,4
4,進一步,4,1,1,1,4
4,過敏病,5,2,2,1,4
4,過程,6,1,1,1,4
4,適合,15,3,8,3,1
4,選擇,11,5,8,2,1
4,選購,4,2,2,1,4
4,避免,6,2,2,1,4
4,部位,4,1,1,1,4
4,配方,5,3,3,1,1
4,酪酸,7,1,1,1,4
4,酵素,34,4,8,2,1
4,醫師,5,3,5,1,1
4,重組,5,1,1,1,4
4,重要,11,3,5,2,1
4,重點,4,1,1,1,4
4,錠劑,5,1,1,1,4
4,防治,16,1,1,1,4
4,阻抗,4,1,1,1,4
4,陽明,5,1,1,1,4
4,陽明生,4,1,1,1,4
4,雙歧桿菌,7,1,1,1,4
4,需要,29,6,11,4,1
4,順順,6,1,1,1,4
4,預防,13,2,3,1,4
4,顏色,4,1,1,1,4
4,顯然,6,1,1,1,4
4,顯著,5,1,1,1,4
4,風味,4,1,1,1,4
4,食品,7,7,8,1,1
4,食物,16,9,18,3,1
4,食用,4,10,15,1,1
4,飲料,5,3,3,1,4
4,飲食,4,7,8,1,1
4,香料,44,1,1,1,4
4,香料粉,6,1,1,1,4
4,馬桶,4,1,1,1,4
4,體內,5,4,4,1,1
4,體質,4,6,11,1,1
4,鳳梨,7,2,2,1,1
4,黃色,8,1,1,1,4
4,鼠李糖乳桿菌,20,4,4,1,1
4,龍根菌,21,2,2,1,1
5,Lactobacillus,4,9,13,1,1
5,NG,9,1,1,1,5
5,pH,5,3,3,1,2
5,乳酸菌,5,10,24,1,1
5,使用,6,8,17,1,1
5,健康,15,9,33,2,1
5,具有,4,6,7,1,1
5,冷藏,6,1,1,1,5
5,功能,6,6,8,1,1
5,吃法,8,1,1,1,5
5,容易,8,5,7,1,1
5,富含,5,1,1,1,5
5,建議,12,7,13,2,1
5,攝取,5,3,3,1,4
5,最好,4,3,3,1,1
5,服用,10,5,8,2,1
5,水溶性,4,1,1,1,5
5,狀況,4,2,3,1,1
5,環境,5,8,13,1,1
5,生長,5,5,6,1,3
5,產品,5,10,24,1,1
5,益生菌,77,10,48,3,1
5,維持,4,3,4,1,1
5,胃酸,5,7,9,1,1
5,腸道,11,9,35,1,1
5,膳食纖維,4,4,5,1,1
5,菌種,10,9,24,2,1
5,選擇,4,5,8,1,1
5,食品,6,7,8,1,1
5,食物,9,9,18,2,1
5,食用,11,10,15,2,1
5,體質,4,6,11,1,1
6,137,6,1,1,1,6
6,2007,6,1,1,1,6
6,Food,4,1,1,1,6
6,Lactobacillus,4,9,13,1,1
6,Research,4,1,1,1,6
6,乳酸菌,61,10,24,2,1
6,人體,14,8,16,2,1
6,作用,11,4,6,2,4
6,使用,4,8,17,1,1
6,保存,4,4,5,1,2
6,健康,8,9,33,2,1
6,優酪乳,15,4,5,1,1
6,具有,4,6,7,1,1
6,參考,4,2,3,1,1
6,口味,4,1,1,1,6
6,壞菌,4,3,3,1,1
6,好菌,4,7,12,1,1
6,存在,5,2,2,1,4
6,存活率,4,2,2,1,1
6,安全,5,4,4,1,1
6,幫助,8,6,13,1,1
6,成分,4,5,5,1,1
6,所謂,5,1,1,1,6
6,文獻,4,1,1,1,6
6,日本,4,4,4,1,1
6,有益,4,5,6,1,1
6,植物,6,2,2,1,4
6,植物性,5,1,1,1,6
6,比較,6,5,8,1,1
6,活性,8,3,3,1,2
6,活菌,18,2,5,2,4
6,添加,5,5,10,1,1
6,濃縮,4,1,1,1,6
6,營養師,4,2,3,1,1
6,產品,10,10,24,2,1
6,發表,6,1,1,1,6
6,益生,10,4,7,1,4
6,益生菌,88,10,48,2,1
6,研究,13,6,17,2,1
6,空腹,4,1,1,1,6
6,胃酸,8,7,9,1,1
6,腸道,8,9,35,1,1
6,膠囊,4,2,3,1,4
6,膽鹽,4,2,2,1,1
6,自然,4,1,1,1,6
6,菌株,13,8,18,1,1
6,菌種,15,9,24,2,1
6,補充,14,8,11,2,1
6,調整,5,5,9,1,1
6,證實,4,4,4,1,1
6,需要,4,6,11,1,1
6,食品,12,7,8,2,1
6,食物,5,9,18,1,1
6,食用,9,10,15,1,1
6,飲料,4,3,3,1,4
6,飲食,4,7,8,1,1
6,體質,6,6,11,1,1
7,AG419,4,1,1,1,7
7,乳酸菌,6,10,24,1,1
7,健康,5,9,33,1,1
7,功效,9,7,13,1,1
7,商品,4,1,1,1,7
7,孩童,4,1,1,1,7
7,學齡,5,1,1,1,7
7,專利,6,6,8,1,1
7,建議,13,7,13,1,1
7,挑選,5,6,10,1,1
7,效果,5,7,10,1,1
7,檢驗,4,2,2,1,1
7,每日,8,3,3,1,4
7,每次,6,1,1,1,7
7,消化道,4,4,4,1,1
7,特殊,4,2,3,1,1
7,產品,21,10,24,1,1
7,益生菌,33,10,48,1,1
7,相關,6,5,6,1,1
7,確保,6,1,1,1,7
7,組合,8,1,1,1,7
7,菌株,8,8,18,1,1
7,輔助,4,1,1,1,7
7,避免,4,2,2,1,4
7,配方,4,3,3,1,1
7,食尚,7,1,1,1,7
7,食用,28,10,15,1,1
7,食用時間,4,1,1,1,7
7,食用量,5,1,1,1,7
7,黃金,9,1,1,1,7
8,Lactobacillus,4,9,13,1,1
8,NCFM,4,2,2,1,1
8,product,5,3,3,1,1
